Running Ez Detect

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:64(_wrapreduction)
       58    0.000    0.000    0.000    0.000 genericpath.py:111(_splitext)
     1022    0.001    0.000    0.004    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:140(_getFilePointers)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:148(_calculateBlockAmount)
        1    0.000    0.000    0.228    0.228 hfo_annotate.py:157(_computeEEGSegments)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:186(_buildMontageFromTRC)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:190(<listcomp>)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:191(<listcomp>)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:192(<listcomp>)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:193(<listcomp>)
        1    0.000    0.000 2548.329 2548.329 hfo_annotate.py:231(_processParallelBlocks_threads)
        1    0.000    0.000    0.000    0.000 hfo_annotate.py:233(startBlockThread)
        1    0.372    0.372 2561.830 2561.830 hfo_annotate.py:74(hfo_annotate)
        3    0.000    0.000    0.000    0.000 index_tricks.py:247(__getitem__)
       13    0.000    0.000    0.098    0.008 inspect.py:1394(getframeinfo)
        1    0.000    0.000    0.098    0.098 inspect.py:1434(getouterframes)
        1    0.000    0.000    0.098    0.098 inspect.py:1462(stack)
       52    0.000    0.000    0.000    0.000 inspect.py:158(isfunction)
        5    0.000    0.000    0.000    0.000 inspect.py:2065(_signature_from_function)
        5    0.000    0.000    0.000    0.000 inspect.py:2146(_signature_from_callable)
       55    0.000    0.000    0.000    0.000 inspect.py:217(istraceback)
       55    0.000    0.000    0.000    0.000 inspect.py:227(isframe)
       25    0.000    0.000    0.000    0.000 inspect.py:2399(__init__)
       42    0.000    0.000    0.000    0.000 inspect.py:241(iscode)
       25    0.000    0.000    0.000    0.000 inspect.py:2434(name)
       25    0.000    0.000    0.000    0.000 inspect.py:2446(kind)
        5    0.000    0.000    0.000    0.000 inspect.py:2664(__init__)
       30    0.000    0.000    0.000    0.000 inspect.py:2709(<genexpr>)
        5    0.000    0.000    0.000    0.000 inspect.py:2733(from_callable)
        5    0.000    0.000    0.000    0.000 inspect.py:2739(parameters)
        5    0.000    0.000    0.000    0.000 inspect.py:2985(signature)
        5    0.000    0.000    0.000    0.000 inspect.py:447(unwrap)
        5    0.000    0.000    0.000    0.000 inspect.py:467(_is_wrapper)
     1246    0.001    0.000    0.001    0.000 inspect.py:602(getfile)
    12860    0.003    0.000    0.004    0.000 inspect.py:63(ismodule)
     1131    0.003    0.000    0.019    0.000 inspect.py:656(getsourcefile)
     3393    0.001    0.000    0.001    0.000 inspect.py:663(<genexpr>)
     4508    0.001    0.000    0.001    0.000 inspect.py:666(<genexpr>)
     1115    0.001    0.000    0.021    0.000 inspect.py:678(getabsfile)
    34/19    0.009    0.000    0.095    0.005 inspect.py:690(getmodule)
       42    0.000    0.000    0.000    0.000 inspect.py:72(isclass)
       13    0.000    0.000    0.094    0.007 inspect.py:736(findsource)
       42    0.000    0.000    0.000    0.000 inspect.py:80(ismethod)
        1    0.000    0.000    0.000    0.000 io.py:249(<listcomp>)
        3    0.000    0.000    0.000    0.000 io.py:335(<listcomp>)
        3    0.000    0.000    0.000    0.000 io.py:336(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:361(<listcomp>)
        1    0.016    0.016    0.279    0.279 io.py:53(_read_raw_trc_header)
        1    0.000    0.000   12.745   12.745 io.py:881(__init__)
        1    0.000    0.000    0.000    0.000 io.py:892(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:900(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:901(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:902(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:903(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:904(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:905(<listcomp>)
        1    0.000    0.000    0.000    0.000 io.py:906(<listcomp>)
        1    0.831    0.831   12.268   12.268 io.py:929(_read_segment_file)
        1    0.000    0.000    0.279    0.279 io.py:955(_read_header)
        1    0.000    0.000   12.745   12.745 io.py:959(read_raw_trc)
       13    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
       10    0.000    0.000    0.000    0.000 linecache.py:53(checkcache)
        8    0.000    0.000    0.001    0.000 linecache.py:82(updatecache)
        1    0.000    0.000    0.000    0.000 meas_info.py:1893(_empty_info)
        2    0.000    0.000    0.000    0.000 meas_info.py:502(_check_consistency)
        2    0.000    0.000    0.000    0.000 meas_info.py:504(<listcomp>)
        2    0.000    0.000    0.000    0.000 meas_info.py:516(<listcomp>)
       68    0.000    0.000    0.000    0.000 meas_info.py:518(<genexpr>)
        2    0.000    0.000    0.000    0.000 meas_info.py:553(_check_ch_name_length)
        2    0.000    0.000    0.000    0.000 meas_info.py:565(_update_redundant)
        2    0.000    0.000    0.000    0.000 meas_info.py:567(<listcomp>)
        8    0.000    0.000    0.000    0.000 mio.py:19(_open_file)
        8    0.000    0.000    0.001    0.000 mio.py:40(mat_reader_factory)
        8    0.000    0.000    0.006    0.001 mio.py:70(loadmat)
        8    0.000    0.000    0.000    0.000 mio5.py:130(__init__)
        8    0.000    0.000    0.000    0.000 mio5.py:169(guess_byte_order)
        8    0.000    0.000    0.000    0.000 mio5.py:177(read_file_header)
        8    0.000    0.000    0.000    0.000 mio5.py:188(initialize_read)
       51    0.000    0.000    0.003    0.000 mio5.py:200(read_var_header)
       18    0.000    0.000    0.002    0.000 mio5.py:235(read_var_array)
        8    0.000    0.000    0.005    0.001 mio5.py:254(get_variables)
        8    0.000    0.000    0.000    0.000 miobase.py:161(read_dtype)
        8    0.000    0.000    0.000    0.000 miobase.py:187(get_matfile_version)
        8    0.000    0.000    0.000    0.000 miobase.py:345(__init__)
       51    0.000    0.000    0.000    0.000 miobase.py:389(end_of_stream)
        7    0.000    0.000    1.061    0.152 numeric.py:433(asarray)
        6    0.000    0.000    0.000    0.000 numeric.py:504(asanyarray)
       61    0.000    0.000    0.000    0.000 numeric.py:556(ascontiguousarray)
        3    0.000    0.000    0.000    0.000 numerictypes.py:1001(<listcomp>)
        3    0.000    0.000    0.000    0.000 numerictypes.py:1002(<listcomp>)
        6    0.000    0.000    0.000    0.000 numerictypes.py:927(_can_coerce_all)
       57    0.000    0.000    0.000    0.000 numerictypes.py:936(<listcomp>)
        3    0.000    0.000    0.000    0.000 numerictypes.py:950(find_common_type)
       58    0.000    0.000    0.000    0.000 posixpath.py:115(splitext)
       58    0.000    0.000    0.000    0.000 posixpath.py:136(basename)
     9424    0.005    0.000    0.022    0.000 posixpath.py:158(islink)
     2220    0.008    0.000    0.012    0.000 posixpath.py:318(normpath)
     2220    0.001    0.000    0.016    0.000 posixpath.py:355(abspath)
     1105    0.001    0.000    0.058    0.000 posixpath.py:369(realpath)
     1105    0.009    0.000    0.049    0.000 posixpath.py:377(_joinrealpath)
    12816    0.003    0.000    0.005    0.000 posixpath.py:39(_get_sep)
     1174    0.000    0.000    0.001    0.000 posixpath.py:50(normcase)
